Date,price
2015-01-02,170.12503051757812
2015-01-05,167.05255126953125
2015-01-06,165.47911071777344
2015-01-07,167.5412139892578
2015-01-08,170.51425170898438
2015-01-09,169.1478271484375
2015-01-12,167.82275390625
2015-01-13,167.35072326660156
2015-01-14,166.3403778076172
2015-01-15,164.816650390625
2015-01-16,166.9780731201172
2015-01-20,167.3341064453125
2015-01-21,168.17889404296875
2015-01-22,170.6798858642578
2015-01-23,169.7440643310547
2015-01-26,170.14154052734375
2015-01-27,167.89730834960938
2015-01-28,165.74417114257812
2015-01-29,167.2762451171875
2015-01-30,165.17269897460938
2015-02-02,167.2182159423828
2015-02-03,169.6363525390625
2015-02-04,168.99041748046875
2015-02-05,170.6963653564453
2015-02-06,170.224365234375
2015-02-09,169.4624481201172
2015-02-10,171.2678680419922
2015-02-11,171.3672332763672
2015-02-12,173.01522827148438
2015-02-13,173.72743225097656
2015-02-17,174.00067138671875
2015-02-18,174.0172576904297
2015-02-19,173.89306640625
2015-02-20,174.93650817871094
2015-02-23,174.9116668701172
2015-02-24,175.4085235595703
2015-02-25,175.25946044921875
2015-02-26,175.05247497558594
2015-02-27,174.45620727539062
2015-03-02,175.55760192871094
2015-03-03,174.83712768554688
2015-03-04,174.10008239746094
2015-03-05,174.29055786132812
2015-03-06,171.83926391601562
2015-03-09,172.5514678955078
2015-03-10,169.75238037109375
2015-03-11,169.35479736328125
2015-03-12,171.50799560546875
2015-03-13,170.45623779296875
2015-03-16,172.73365783691406
2015-03-17,172.22024536132812
2015-03-18,174.29055786132812
2015-03-19,173.49551391601562
2015-03-20,175.02696228027344
2015-03-23,174.68592834472656
2015-03-24,173.70436096191406
2015-03-25,171.15895080566406
2015-03-26,170.75132751464844
2015-03-27,171.14227294921875
2015-03-30,173.2301788330078
2015-03-31,171.7162322998047
2015-04-01,171.10897827148438
2015-04-02,171.72450256347656
2015-04-06,172.8808135986328
2015-04-07,172.42327880859375
2015-04-08,173.0055694580078
2015-04-09,173.77085876464844
2015-04-10,174.71917724609375
2015-04-13,173.92892456054688
2015-04-14,174.26168823242188
2015-04-15,175.04359436035156
2015-04-16,174.99363708496094
2015-04-17,172.9806365966797
2015-04-20,174.56109619140625
2015-04-21,174.35316467285156
2015-04-22,175.20993041992188
2015-04-23,175.65084838867188
2015-04-24,176.05844116210938
2015-04-27,175.32643127441406
2015-04-28,175.88375854492188
2015-04-29,175.16006469726562
2015-04-30,173.40489196777344
2015-05-01,175.2847900390625
2015-05-04,175.783935546875
2015-05-05,173.77085876464844
2015-05-06,173.05548095703125
2015-05-07,173.74598693847656
2015-05-08,176.033447265625
2015-05-11,175.19329833984375
2015-05-12,174.66928100585938
2015-05-13,174.70260620117188
2015-05-14,176.52432250976562
2015-05-15,176.7156219482422
2015-05-18,177.2645721435547
2015-05-19,177.20635986328125
2015-05-20,177.08157348632812
2015-05-21,177.5973358154297
2015-05-22,177.17308044433594
2015-05-26,175.26817321777344
2015-05-27,176.93185424804688
2015-05-28,176.73223876953125
2015-05-29,175.63418579101562
2015-06-01,175.99192810058594
2015-06-02,175.81716918945312
2015-06-03,176.28305053710938
2015-06-04,174.79403686523438
2015-06-05,174.49459838867188
2015-06-08,173.42149353027344
2015-06-09,173.39657592773438
2015-06-10,175.47616577148438
2015-06-11,176.04177856445312
2015-06-12,174.69418334960938
2015-06-15,173.9456024169922
2015-06-16,174.89382934570312
2015-06-17,175.1766815185547
2015-06-18,176.9984130859375
2015-06-19,176.2126922607422
2015-06-22,177.11541748046875
2015-06-23,177.2407684326172
2015-06-24,175.9535675048828
2015-06-25,175.41854858398438
2015-06-26,175.3851776123047
2015-06-29,171.70729064941406
2015-06-30,172.0667266845703
2015-07-01,173.4459228515625
2015-07-02,173.28707885742188
2015-07-06,172.7938995361328
2015-07-07,173.8805389404297
2015-07-08,170.96337890625
2015-07-09,171.2725830078125
2015-07-10,173.42918395996094
2015-07-13,175.34335327148438
2015-07-14,176.10401916503906
2015-07-15,176.04551696777344
2015-07-16,177.45816040039062
2015-07-17,177.60858154296875
2015-07-20,177.7005615234375
2015-07-21,176.99842834472656
2015-07-22,176.6807403564453
2015-07-23,175.6860809326172
2015-07-24,173.86383056640625
2015-07-27,172.85240173339844
2015-07-28,174.9755859375
2015-07-29,176.17921447753906
2015-07-30,176.22105407714844
2015-07-31,175.9535675048828
2015-08-03,175.36007690429688
2015-08-04,175.0173797607422
2015-08-05,175.59413146972656
2015-08-06,174.15640258789062
2015-08-07,173.82203674316406
2015-08-10,176.01205444335938
2015-08-11,174.4238739013672
2015-08-12,174.6328582763672
2015-08-13,174.4155731201172
2015-08-14,175.05076599121094
2015-08-17,176.02877807617188
2015-08-18,175.5188751220703
2015-08-19,174.13133239746094
2015-08-20,170.4952392578125
2015-08-21,165.3628692626953
2015-08-24,158.39999389648438
2015-08-25,156.5359344482422
2015-08-26,162.54598999023438
2015-08-27,166.5665740966797
2015-08-28,166.57492065429688
2015-08-31,165.22914123535156
2015-09-01,160.29745483398438
2015-09-02,163.34005737304688
2015-09-03,163.4571075439453
2015-09-04,160.98289489746094
2015-09-08,165.02854919433594
2015-09-09,162.8218231201172
2015-09-10,163.7078399658203
2015-09-11,164.4517822265625
2015-09-14,163.84156799316406
2015-09-15,165.88949584960938
2015-09-16,167.3272247314453
2015-09-17,166.95108032226562
2015-09-18,164.22279357910156
2015-09-21,165.07144165039062
2015-09-22,162.92892456054688
2015-09-23,162.66842651367188
2015-09-24,162.08026123046875
2015-09-25,162.03826904296875
2015-09-28,157.9715576171875
2015-09-29,158.06399536132812
2015-09-30,161.01321411132812
2015-10-01,161.43331909179688
2015-10-02,163.84475708007812
2015-10-05,166.76034545898438
2015-10-06,166.18899536132812
2015-10-07,167.55014038085938
2015-10-08,169.06256103515625
2015-10-09,169.1634063720703
2015-10-12,169.3230438232422
2015-10-13,168.2559356689453
2015-10-14,167.44935607910156
2015-10-15,170.02047729492188
2015-10-16,170.79345703125
2015-10-19,170.8774871826172
2015-10-20,170.6590118408203
2015-10-21,169.60031127929688
2015-10-22,172.46551513671875
2015-10-23,174.35606384277344
2015-10-26,173.92750549316406
2015-10-27,173.59140014648438
2015-10-28,175.5659942626953
2015-10-29,175.4651336669922
2015-10-30,174.70887756347656
2015-11-02,176.77590942382812
2015-11-03,177.2884063720703
2015-11-04,176.75064086914062
2015-11-05,176.57421875
2015-11-06,176.48179626464844
2015-11-09,174.83494567871094
2015-11-10,175.23826599121094
2015-11-11,174.5492706298828
2015-11-12,172.11256408691406
2015-11-13,170.18008422851562
2015-11-16,172.76800537109375
2015-11-17,172.64198303222656
2015-11-18,175.38111877441406
2015-11-19,175.22988891601562
2015-11-20,175.86843872070312
2015-11-23,175.666748046875
2015-11-24,175.9020538330078
2015-11-25,175.87680053710938
2015-11-27,176.0784912109375
2015-11-30,175.34750366210938
2015-12-01,177.01954650878906
2015-12-02,175.21304321289062
2015-12-03,172.7595977783203
2015-12-04,176.1288604736328
2015-12-07,175.0618133544922
2015-12-08,173.885498046875
2015-12-09,172.53273010253906
2015-12-10,172.97808837890625
2015-12-11,169.6255645751953
2015-12-14,170.4826202392578
2015-12-15,172.27223205566406
2015-12-16,174.79295349121094
2015-12-17,172.1294403076172
2015-12-18,169.06292724609375
2015-12-21,170.45755004882812
2015-12-22,172.0043182373047
2015-12-23,174.13426208496094
2015-12-24,173.84690856933594
2015-12-28,173.44964599609375
2015-12-29,175.3007049560547
2015-12-30,174.05821228027344
2015-12-31,172.3170623779297
2016-01-04,169.90817260742188
2016-01-05,170.19557189941406
2016-01-06,168.04864501953125
2016-01-07,164.01686096191406
2016-01-08,162.2165069580078
2016-01-11,162.37716674804688
2016-01-12,163.68727111816406
2016-01-13,159.60479736328125
2016-01-14,162.22500610351562
2016-01-15,158.74267578125
2016-01-19,158.9539794921875
2016-01-20,156.91696166992188
2016-01-21,157.79600524902344
2016-01-22,161.033203125
