Date,price
2015-01-02,43.780635833740234
2015-01-05,42.74717330932617
2015-01-06,42.262969970703125
2015-01-07,42.73273468017578
2015-01-08,43.310882568359375
2015-01-09,43.101295471191406
2015-01-12,43.000118255615234
2015-01-13,43.21693801879883
2015-01-14,43.094078063964844
2015-01-15,43.36869430541992
2015-01-16,43.93239212036133
2015-01-20,44.08415985107422
2015-01-21,44.431060791015625
2015-01-22,44.59727096557617
2015-01-23,44.344322204589844
2015-01-26,44.951385498046875
2015-01-27,45.01643753051758
2015-01-28,44.344322204589844
2015-01-29,44.951385498046875
2015-01-30,44.2431526184082
2015-02-02,44.777950286865234
2015-02-03,45.493408203125
2015-02-04,45.117618560791016
2015-02-05,45.739131927490234
2015-02-06,45.16819763183594
2015-02-09,44.951385498046875
2015-02-10,45.36332321166992
2015-02-11,45.117618560791016
2015-02-12,45.81862258911133
2015-02-13,46.122154235839844
2015-02-17,46.23055648803711
2015-02-18,46.50517654418945
2015-02-19,46.562992095947266
2015-02-20,46.99660873413086
2015-02-23,46.83039474487305
2015-02-24,47.11946105957031
2015-02-25,47.15559387207031
2015-02-26,47.025516510009766
2015-02-27,47.04719543457031
2015-03-02,47.11946105957031
2015-03-03,46.83039474487305
2015-03-04,46.64248275756836
2015-03-05,46.75088882446289
2015-03-06,46.114925384521484
2015-03-09,46.18717575073242
2015-03-10,45.18264389038086
2015-03-11,45.298282623291016
2015-03-12,45.86198043823242
2015-03-13,45.59458541870117
2015-03-16,46.107696533203125
2015-03-17,45.992061614990234
2015-03-18,46.97493362426758
2015-03-19,46.42567443847656
2015-03-20,47.45191192626953
2015-03-23,47.69038391113281
2015-03-24,47.589210510253906
2015-03-25,47.36518096923828
2015-03-26,46.9532356262207
2015-03-27,47.076107025146484
2015-03-30,47.105010986328125
2015-03-31,46.375091552734375
2015-04-01,46.70753479003906
2015-04-02,47.112239837646484
2015-04-06,47.589210510253906
2015-04-07,47.524173736572266
2015-04-08,47.72651672363281
2015-04-09,47.79156494140625
2015-04-10,47.8855094909668
2015-04-13,47.58197784423828
2015-04-14,47.936100006103516
2015-04-15,48.15291213989258
2015-04-16,48.28298568725586
2015-04-17,47.675933837890625
2015-04-20,47.72651672363281
2015-04-21,48.15291213989258
2015-04-22,48.24686050415039
2015-04-23,48.42753601074219
2015-04-24,48.70938491821289
2015-04-27,48.94786834716797
2015-04-28,49.00568389892578
2015-04-29,48.57929611206055
2015-04-30,48.06618881225586
2015-05-01,48.60097885131836
