Date,portfolio_log_return,daily_pnl_eur,cumulative_pnl_eur,SPY_return,QQQ_return,EFA_return,EEM_return,TLT_return,IEF_return,HYG_return,EMB_return,GLD_return,SLV_return,USO_return,DBC_return
2015-01-05,-0.006917926359616911,-69179.26359616911,-68940.52591105178,-0.0182251991782784,-0.014777322998363818,-0.02388854359561475,-0.017957430957528147,0.015586244860774498,0.006082329609284541,-0.009306931253531629,-0.006424350131139326,0.014964618775983719,0.025483270362111825,-0.05689220002997445,-0.014365046772228485
2015-01-06,-0.0017292014398145024,-17292.014398145024,-86098.48918973841,-0.009463473553756246,-0.013498759438412965,-0.011391783528291262,-0.004210610545834108,0.017857235009960015,0.006696046297346463,-0.003837489216894983,-0.003134856741984991,0.01133448217141997,0.021066845148140202,-0.040179219638777575,-0.009505184145533833
2015-01-07,0.006960753679571606,69607.53679571606,-16849.529899882153,0.012384407043247631,0.012808512414514944,0.011053958426994233,0.021393996279685846,-0.0019771275663749053,-0.0001856150359527265,0.006199927416005849,0.012481551216969766,-0.005908836993974842,0.0012626553174388542,0.017573302401255066,-0.006198846348093761
2015-01-08,0.00628057411527411,62805.7411527411,46047.69512172416,0.017589506300197098,0.018958906701874827,0.013438686277697667,0.016893159921060906,-0.013330815805239088,-0.0040875088617259945,0.007502512646478156,0.004277809848813131,-0.004217399700950183,-0.013337767322032436,0.009750803012601377,0.003949077229463288
2015-01-09,-0.0002809761375703229,-2809.761375703229,43225.391960989684,-0.008045831530400397,-0.006604833705706327,-0.004850878959564632,-0.003304885049578036,0.010892386653583547,0.004920819181889176,0.005006269741293996,-0.0006357265422783843,0.011320872784880804,0.008277672933698835,-0.014662144335963977,-0.0016906069458266007
2015-01-12,-0.0034850609650645976,-34850.60965064597,8285.059143539518,-0.007864663247484313,-0.01048162934424224,-0.002350188173849298,-0.008182310694693646,0.005705775280725195,0.0035137930552636546,-0.0012215288503662704,-0.005833175919112421,0.011025431201653892,0.00632109732472332,-0.04876285857295213,-0.022242138606977428
2015-01-13,0.0011212549246802867,11212.549246802866,19513.191676812246,-0.0028166366605072856,-0.00029529557757387983,0.005029636353433397,0.008691299076256282,0.0,0.000922256666314941,0.0,0.0031935012673870973,-0.003379471739693634,0.026120951488583684,0.01198992312190796,-0.004044988563654071
2015-01-14,-0.00013492468643090514,-1349.2468643090515,18161.40319810249,-0.00605559179248988,-0.005531592458302354,-0.0028469144123392095,-0.0056149178319330854,0.007557854010074515,0.004599832488014602,-0.002336437826146298,0.007534810728503308,-0.0016093040146014643,-0.009870638707986266,0.03622572730777439,0.010941524700936343
2015-01-15,0.0005400805846661394,5400.805846661394,23573.47901300341,-0.009202511439924602,-0.013059964196286463,0.006352263693490118,0.002300764386066896,0.015612583930962085,0.008499569809567535,-0.006144275047112206,0.0013556833365982312,0.024864209830664365,0.0012391859404814911,-0.04592070307550402,-0.013841030476755266
2015-01-16,0.007609692417377354,76096.92417377354,100140.74730770662,0.013028858818912095,0.011672806678860417,0.012914058051849227,0.008391566315719192,-0.01283077954248782,-0.0073993972702450376,0.003802912906626166,0.0007229535563205883,0.01297967953352017,0.048347852789386685,0.049199365319475004,0.0189825267208411
