Date,vol_21d,vol_63d,vol_126d,vol_252d
2015-02-03,0.0653006989189078,,,
2015-02-04,0.06135112127340813,,,
2015-02-05,0.06140343351356975,,,
2015-02-06,0.06966278368773031,,,
2015-02-09,0.06703126631469503,,,
2015-02-10,0.06703654033268276,,,
2015-02-11,0.06606156576980088,,,
2015-02-12,0.07020380640036038,,,
2015-02-13,0.07052061475233375,,,
2015-02-17,0.07346711199040656,,,
2015-02-18,0.06934993459658068,,,
2015-02-19,0.0689023093787931,,,
2015-02-20,0.06901546388899145,,,
2015-02-23,0.06534527005854063,,,
2015-02-24,0.06727383470700776,,,
2015-02-25,0.06760094696840335,,,
2015-02-26,0.06743339151437025,,,
2015-02-27,0.06488321167325144,,,
2015-03-02,0.06559445456358903,,,
2015-03-03,0.06693468234768409,,,
2015-03-04,0.06437535170406955,,,
2015-03-05,0.06201376006933864,,,
2015-03-06,0.08049035450507444,,,
2015-03-09,0.07909821425427868,,,
2015-03-10,0.07783837747866283,,,
2015-03-11,0.077906577997311,,,
2015-03-12,0.08021983454344524,,,
2015-03-13,0.08200896166032058,,,
2015-03-16,0.08192143223959292,,,
2015-03-17,0.08063156260276311,,,
2015-03-18,0.09917217893900625,,,
2015-03-19,0.10133453103389688,,,
2015-03-20,0.10780694067713428,,,
2015-03-23,0.10759120542451435,,,
2015-03-24,0.10757981569494,,,
2015-03-25,0.11012551833004719,,,
2015-03-26,0.11014194757930426,,,
2015-03-27,0.1098903083664554,,,
2015-03-30,0.11072970424147001,,,
2015-03-31,0.11199733768709942,,,
2015-04-01,0.11355404529514833,,,
2015-04-02,0.11314134085570315,,,
2015-04-06,0.11520451405537126,0.08355624718198179,,
2015-04-07,0.09993682779042008,0.08219276162414738,,
2015-04-08,0.09975464801238147,0.08205662582368034,,
2015-04-09,0.0937059821603042,0.08111290749395822,,
2015-04-10,0.09410673159207178,0.08064083536573677,,
2015-04-13,0.09447245462919678,0.08091588711479811,,
2015-04-14,0.09116151313642905,0.08061955735569999,,
2015-04-15,0.08961306288636214,0.08113028001172998,,
2015-04-16,0.08961055374764416,0.08113455630606951,,
2015-04-17,0.07380663849017123,0.08183704763151457,,
2015-04-20,0.06976491684267283,0.08056775131684256,,
2015-04-21,0.06011342584819342,0.08028907754233577,,
2015-04-22,0.06023108515247488,0.08026102072555102,,
2015-04-23,0.06184979164728124,0.07968358896427526,,
2015-04-24,0.05373488219769002,0.07983675140325996,,
2015-04-27,0.051190877684288524,0.07986138638731306,,
2015-04-28,0.05159562217465453,0.07947551125056417,,
2015-04-29,0.05565320815499358,0.07978364164209699,,
2015-04-30,0.058445363390885074,0.0812145179053742,,
2015-05-01,0.05579465793530755,0.081358936011885,,
2015-05-04,0.055792266088419584,0.08047660283447032,,
2015-05-05,0.05546918616616591,0.08084969669682726,,
2015-05-06,0.05821034205841308,0.08118336443498418,,
2015-05-07,0.058525997002940706,0.08065678014308528,,
2015-05-08,0.06851143676313048,0.08071054315906291,,
2015-05-11,0.07347154088174236,0.08276492034826054,,
2015-05-12,0.07301939042802162,0.08272464202526107,,
2015-05-13,0.07276279237112335,0.08269276146272335,,
2015-05-14,0.07601206039758542,0.08283169328731434,,
2015-05-15,0.0783258502750048,0.08320601385585935,,
2015-05-18,0.07719945669906558,0.08283963951536238,,
2015-05-19,0.07981844500879148,0.08371539794136298,,
2015-05-20,0.0798731764738892,0.08362507461821433,,
2015-05-21,0.08204842816531861,0.0841298696937887,,
2015-05-22,0.08087706313191918,0.08423014824651247,,
2015-05-26,0.0827793872186664,0.08469328343788933,,
2015-05-27,0.08432148571879487,0.08502332041601067,,
2015-05-28,0.08438160585943755,0.08478406772768371,,
2015-05-29,0.08245058875780939,0.08484250173363597,,
2015-06-01,0.078853499277118,0.08482988155162835,,
2015-06-02,0.07838145730167821,0.08465766101242711,,
2015-06-03,0.07955141652796494,0.08493536284978719,,
2015-06-04,0.0784220857298343,0.08540225023076839,,
2015-06-05,0.0783065581820978,0.08030067221028067,,
2015-06-08,0.07841030014327818,0.08031954037646594,,
2015-06-09,0.06833621068191871,0.07845621967289447,,
2015-06-10,0.06727564168078273,0.07949966808108172,,
2015-06-11,0.0693261732835242,0.07932763046395527,,
2015-06-12,0.07024699591200197,0.07900476539142479,,
2015-06-15,0.06323814807871808,0.07777672140410492,,
2015-06-16,0.06137093898177995,0.07807813191165115,,
2015-06-17,0.061245481221015606,0.07067252554118487,,
2015-06-18,0.06317686249628608,0.07069034626336823,,
2015-06-19,0.06303107614038742,0.0673713075179618,,
2015-06-22,0.05935010602792869,0.0672574539833058,,
2015-06-23,0.05918449978649401,0.06726702925585351,,
2015-06-24,0.05603749105447511,0.06544983905254548,,
2015-06-25,0.05334122362522662,0.0652464657363373,,
2015-06-26,0.054178907740575676,0.06555194395719294,,
2015-06-29,0.059125317824006804,0.06683637480587858,,
2015-06-30,0.0595037762253481,0.06607369751220112,,
2015-07-01,0.05946606825160647,0.0649162433021721,,
2015-07-02,0.05860368721874132,0.06495848289760227,,
2015-07-06,0.05784335281638635,0.06378244298923318,0.07441278553173555,
2015-07-07,0.055626556833627834,0.0637908794513293,0.07375983812026289,
2015-07-08,0.06264574725411325,0.06602094342392252,0.07483904234965587,
2015-07-09,0.06282270995909466,0.06609447538446456,0.07419615938795736,
2015-07-10,0.06340877347911315,0.06707271215736665,0.07431143881967094,
2015-07-13,0.06285183044235333,0.06744858069503205,0.07450847294594616,
2015-07-14,0.06244933718147404,0.06754710594883183,0.07446017997590153,
2015-07-15,0.06200289761599692,0.06660880415219259,0.07445337653927256,
2015-07-16,0.06366229523344664,0.06762206351970071,0.07482620126169438,
2015-07-17,0.06373473299550624,0.0670950178099726,0.07483270403075733,
2015-07-20,0.06087767187894657,0.06739321528989238,0.07426431579116193,
2015-07-21,0.06091473660092347,0.06738499748020928,0.07407633570421994,
2015-07-22,0.06186816513670581,0.06768646872991227,0.07417775921957963,
2015-07-23,0.061934321894656565,0.06702964159807964,0.07360867808979461,
2015-07-24,0.06331670584236675,0.06725033972636178,0.073918882495228,
2015-07-27,0.06459813508404538,0.06758668614499201,0.07421097851741204,
2015-07-28,0.06753364991290493,0.06873091104575633,0.07447851499313132,
2015-07-29,0.06366519286735679,0.0685272721329989,0.07441012903453421,
2015-07-30,0.06361341056484118,0.06718799422792446,0.07441368751998505,
2015-07-31,0.0638116357739825,0.06701919608094543,0.07444527164559538,
2015-08-03,0.06451301075587917,0.06717722210089942,0.07401385250517709,
2015-08-04,0.06363619160340257,0.06627731995320506,0.07370113184434628,
2015-08-05,0.06358952634610644,0.06550090628056433,0.07350525258398624,
2015-08-06,0.05580944954604263,0.06561810653216144,0.07327517633314651,
2015-08-07,0.05586054020261331,0.06229642739316939,0.07207053905405485,
2015-08-10,0.055799520023369714,0.061625531246256075,0.07274105287857717,
2015-08-11,0.05590705904381002,0.06200246899754247,0.0728963836283059,
2015-08-12,0.05477410039557454,0.061837624818650225,0.07285251359943665,
2015-08-13,0.05551028454258313,0.05969027860326848,0.07213765389798955,
2015-08-14,0.051792169335518445,0.05862366300713147,0.0719839389910056,
2015-08-17,0.052624555104982006,0.058743065445935785,0.07178210604528165,
2015-08-18,0.05358032541809631,0.058394775205702305,0.07206222129614323,
2015-08-19,0.053701855315446564,0.05839544960907884,0.07205953257037806,
2015-08-20,0.059083543088667416,0.059145375846185066,0.07284467596843396,
2015-08-21,0.07936580943029424,0.06663252765502249,0.0761995810611612,
2015-08-24,0.11263452556243875,0.08119496114885046,0.08325280715564995,
2015-08-25,0.1126476508145713,0.08064474806894385,0.0833422769539127,
2015-08-26,0.1222220581147284,0.08575805598928753,0.08551880332712918,
2015-08-27,0.13706648123128187,0.09277807082299944,0.08884729883475456,
2015-08-28,0.1376826382323435,0.09303348513271215,0.08892850618047171,
2015-08-31,0.13733170279776555,0.0931187136634335,0.0889178218498795,
2015-09-01,0.14728957526580716,0.0983452958752885,0.09191263489533684,
2015-09-02,0.15201237058874892,0.09993948193235952,0.0927966339381765,
2015-09-03,0.15232614220916493,0.09964463238892485,0.09037903770055128,
2015-09-04,0.15401143231418885,0.10072593414971966,0.09097592355514214,
2015-09-08,0.16081634251630028,0.10373508035205442,0.09178663565011451,
