Scenario,Category,Asset,Shock,P&L_EUR,Return
Credit Crisis,Credit Shock,GLD,0.03,21000.000000000004,-0.1142
Credit Crisis,Credit Shock,SLV,-0.08,-23999.999999999996,-0.1142
Credit Crisis,Credit Shock,USO,-0.3,-60000.0,-0.1142
Credit Crisis,Credit Shock,DBC,-0.18,-53999.99999999999,-0.1142
USD Surge / EM Crisis,FX / EM Shock,SPY,-0.06,-150000.0,-0.07220000000000001
USD Surge / EM Crisis,FX / EM Shock,QQQ,-0.07,-70000.00000000001,-0.07220000000000001
USD Surge / EM Crisis,FX / EM Shock,EFA,-0.15,-150000.0,-0.07220000000000001
USD Surge / EM Crisis,FX / EM Shock,EEM,-0.28,-140000.00000000003,-0.07220000000000001
USD Surge / EM Crisis,FX / EM Shock,TLT,0.02,30000.0,-0.07220000000000001
USD Surge / EM Crisis,FX / EM Shock,IEF,0.01,10000.0,-0.07220000000000001
USD Surge / EM Crisis,FX / EM Shock,HYG,0.0,0.0,-0.07220000000000001
USD Surge / EM Crisis,FX / EM Shock,EMB,-0.2,-100000.00000000001,-0.07220000000000001
USD Surge / EM Crisis,FX / EM Shock,GLD,-0.08,-56000.00000000001,-0.07220000000000001
USD Surge / EM Crisis,FX / EM Shock,SLV,-0.12,-36000.0,-0.07220000000000001
USD Surge / EM Crisis,FX / EM Shock,USO,-0.15,-30000.0,-0.07220000000000001
USD Surge / EM Crisis,FX / EM Shock,DBC,-0.1,-30000.0,-0.07220000000000001
China/Oil Shock 2015–16,Historical,SPY,-0.10348353822940692,-258708.84557351732,-0.05824559603990713
China/Oil Shock 2015–16,Historical,QQQ,-0.11962009157642528,-119620.09157642529,-0.05824559603990713
China/Oil Shock 2015–16,Historical,EFA,-0.18587309746561165,-185873.09746561167,-0.05824559603990713
China/Oil Shock 2015–16,Historical,EEM,-0.19782026672235942,-98910.1333611797,-0.05824559603990713
China/Oil Shock 2015–16,Historical,TLT,0.089109023417562,133663.535126343,-0.05824559603990713
China/Oil Shock 2015–16,Historical,IEF,0.05009074755877263,50090.74755877263,-0.05824559603990713
China/Oil Shock 2015–16,Historical,HYG,-0.09828211241259466,-49141.05620629733,-0.05824559603990713
China/Oil Shock 2015–16,Historical,EMB,-0.016401280642384775,-8200.640321192388,-0.05824559603990713
China/Oil Shock 2015–16,Historical,GLD,0.1279900911666474,89593.06381665317,-0.05824559603990713
China/Oil Shock 2015–16,Historical,SLV,0.06463067133118083,19389.20139935425,-0.05824559603990713
China/Oil Shock 2015–16,Historical,USO,-0.46568314033510116,-93136.62806702022,-0.05824559603990713
China/Oil Shock 2015–16,Historical,DBC,-0.20534005242983489,-61602.015728950464,-0.05824559603990713
Flash Crash (1-day),Tail Event,SPY,-0.1,-250000.0,-0.0528
Flash Crash (1-day),Tail Event,QQQ,-0.12,-120000.0,-0.0528
Flash Crash (1-day),Tail Event,EFA,-0.09,-90000.0,-0.0528
Flash Crash (1-day),Tail Event,EEM,-0.11,-55000.00000000001,-0.0528
Flash Crash (1-day),Tail Event,TLT,0.02,30000.0,-0.0528
Flash Crash (1-day),Tail Event,IEF,0.01,10000.0,-0.0528
Flash Crash (1-day),Tail Event,HYG,-0.05,-25000.000000000004,-0.0528
Flash Crash (1-day),Tail Event,EMB,-0.04,-20000.0,-0.0528
Flash Crash (1-day),Tail Event,GLD,0.02,14000.000000000002,-0.0528
Flash Crash (1-day),Tail Event,SLV,-0.01,-2999.9999999999995,-0.0528
Flash Crash (1-day),Tail Event,USO,-0.05,-10000.0,-0.0528
Flash Crash (1-day),Tail Event,DBC,-0.03,-9000.0,-0.0528
SVB / Banking Crisis 2023,Historical,SPY,-0.00253476246233586,-6336.90615583965,0.023723012568268243
SVB / Banking Crisis 2023,Historical,QQQ,0.05072336814543266,50723.368145432665,0.023723012568268243
SVB / Banking Crisis 2023,Historical,EFA,-0.010068940175496088,-10068.940175496089,0.023723012568268243
SVB / Banking Crisis 2023,Historical,EEM,-0.0018070232361853122,-903.5116180926561,0.023723012568268243
SVB / Banking Crisis 2023,Historical,TLT,0.050432459732532076,75648.68959879811,0.023723012568268243
SVB / Banking Crisis 2023,Historical,IEF,0.05136300354744683,51363.00354744683,0.023723012568268243
SVB / Banking Crisis 2023,Historical,HYG,-0.007952712557465547,-3976.3562787327737,0.023723012568268243
SVB / Banking Crisis 2023,Historical,EMB,0.009457587635979703,4728.793817989852,0.023723012568268243
SVB / Banking Crisis 2023,Historical,GLD,0.08913532922860834,62394.73046002584,0.023723012568268243
SVB / Banking Crisis 2023,Historical,SLV,0.15013541657836282,45040.62497350885,0.023723012568268243
SVB / Banking Crisis 2023,Historical,USO,-0.10154752460718719,-20309.504921437438,0.023723012568268243
SVB / Banking Crisis 2023,Historical,DBC,-0.036912885703070386,-11073.865710921114,0.023723012568268243
Soft Landing,Positive Scenario,SPY,0.12,300000.0,0.0703
