Date,diversification_ratio
2015-04-07,1.8093912504487346
2015-04-08,1.7948834994850411
2015-04-09,1.7827310448182723
2015-04-10,1.7941628497736697
2015-04-13,1.7781374776799512
2015-04-14,1.7649833541067537
2015-04-15,1.760033086014011
2015-04-16,1.7518657617218634
2015-04-17,1.7449031853569794
2015-04-20,1.724122936696347
2015-04-21,1.7306414579573193
2015-04-22,1.7277540526805504
2015-04-23,1.7290340039717516
2015-04-24,1.7235441245163208
2015-04-27,1.7139522541504983
2015-04-28,1.7177128100938934
2015-04-29,1.7040339144057737
2015-04-30,1.678851436684984
2015-05-01,1.646817667511935
2015-05-04,1.6105662774524943
2015-05-05,1.6161548939527495
2015-05-06,1.5905655661181644
2015-05-07,1.5807550883472439
2015-05-08,1.5857003103760439
2015-05-11,1.5792116559228728
2015-05-12,1.5588124931379497
2015-05-13,1.5472952886849973
2015-05-14,1.5529442958220916
2015-05-15,1.547947666879505
2015-05-18,1.5448653212558394
2015-05-19,1.544926345913744
2015-05-20,1.5373094493058455
2015-05-21,1.5373945557237019
2015-05-22,1.5317438598636488
2015-05-26,1.52560482729379
2015-05-27,1.5408855386128357
2015-05-28,1.5420424556447891
2015-05-29,1.5409442825425372
2015-06-01,1.5438793377076154
2015-06-02,1.533691781409467
2015-06-03,1.5409730931257586
2015-06-04,1.5440766763912164
2015-06-05,1.5523426411102939
2015-06-08,1.6115779843023725
2015-06-09,1.6114884932609985
2015-06-10,1.6091207486703636
2015-06-11,1.606417409294775
2015-06-12,1.6126000466169057
2015-06-15,1.6164143948656857
2015-06-16,1.6263890386571969
2015-06-17,1.619315045827991
2015-06-18,1.7260023937469278
2015-06-19,1.727270453137243
2015-06-22,1.7885113768740435
2015-06-23,1.8156895491210236
2015-06-24,1.8130067294808294
2015-06-25,1.8367715139030314
2015-06-26,1.8274907405411123
2015-06-29,1.8080553150700713
2015-06-30,1.8584551749691844
2015-07-01,1.872339344784214
2015-07-02,1.8979937791556456
2015-07-06,1.8904033146643686
2015-07-07,1.952657517717187
2015-07-08,1.9621171010324083
2015-07-09,1.9329458726415938
2015-07-10,1.945950573206719
2015-07-13,1.961022617691696
2015-07-14,1.9620376945360387
2015-07-15,1.9589718228474882
2015-07-16,1.983295298101799
