Date,nav,peak,drawdown,underwater
2015-01-05,0.9931059474088948,0.9931059474088948,0.0,False
2015-01-06,0.9913901510810262,0.9931059474088948,-0.0017277072323906915,True
2015-01-07,0.9983150470100118,0.9983150470100118,0.0,False
2015-01-08,1.0046047695121725,1.0046047695121725,0.0,False
2015-01-09,1.004322539196099,1.0046047695121725,-0.00028093666747221223,True
2015-01-12,1.000828505914354,1.0046047695121725,-0.003758954478836672,True
2015-01-13,1.0019513191676812,1.0046047695121725,-0.0026412878228517303,True
2015-01-14,1.0018161403198105,1.0046047695121725,-0.002775847056465934,True
2015-01-15,1.0023573479013006,1.0046047695121725,-0.0022371201880349513,True
2015-01-16,1.0100140747307707,1.0100140747307707,0.0,False
2015-01-20,1.0137554651485208,1.0137554651485208,0.0,False
2015-01-21,1.0163054227040065,1.0163054227040065,0.0,False
2015-01-22,1.0229291842393877,1.0229291842393877,0.0,False
2015-01-23,1.022735666735449,1.0229291842393877,-0.00018917976622457295,True
2015-01-26,1.0220288669086368,1.0229291842393877,-0.0008801365183654947,True
2015-01-27,1.0182727847351611,1.0229291842393877,-0.004552025277965756,True
2015-01-28,1.0136193289559834,1.0229291842393877,-0.009101172815131672,True
2015-01-29,1.0138405926976504,1.0229291842393877,-0.00888486874924318,True
2015-01-30,1.014473944033693,1.0229291842393877,-0.008265714123682738,True
2015-02-02,1.020740107350395,1.0229291842393877,-0.002140008245654308,True
2015-02-03,1.0256370662320387,1.0256370662320387,0.0,False
2015-02-04,1.0215812871870125,1.0256370662320387,-0.003954399834559619,True
2015-02-05,1.026507861843429,1.026507861843429,0.0,False
2015-02-06,1.0166828753486299,1.026507861843429,-0.009571272525039462,True
2015-02-09,1.0157420420252872,1.026507861843429,-0.010487810389302034,True
2015-02-10,1.017211583212536,1.026507861843429,-0.009056217664225681,True
2015-02-11,1.0152259703557012,1.026507861843429,-0.010990555364541903,True
2015-02-12,1.022901587706048,1.026507861843429,-0.003513148093093564,True
2015-02-13,1.0262822751683087,1.026507861843429,-0.00021976127363999682,True
2015-02-17,1.0213670427139807,1.026507861843429,-0.005008066007615547,True
2015-02-18,1.0228016891271474,1.026507861843429,-0.0036104669569951924,True
2015-02-19,1.0208752107878467,1.026507861843429,-0.005487197190547509,True
2015-02-20,1.023717871928619,1.026507861843429,-0.0027179430557886784,True
2015-02-23,1.0245566430807875,1.026507861843429,-0.0019008317765217336,True
2015-02-24,1.0293977986760465,1.0293977986760465,0.0,False
2015-02-25,1.0320215566627484,1.0320215566627484,0.0,False
2015-02-26,1.0284573238305896,1.0320215566627484,-0.00345364184415339,True
2015-02-27,1.0294245045780221,1.0320215566627484,-0.002516470773269859,True
