Date,SPY,QQQ,EFA,EEM,TLT,IEF,HYG,EMB,GLD,SLV,USO,DBC
2015-01-05,-45562.997945696,-14777.32299836382,-23888.543595614752,-8978.715478764074,23379.367291161747,6082.329609284542,-4653.465626765815,-3212.175065569663,10475.233143188605,7644.981108633547,-11378.440005994891,-4309.514031668546
2015-01-06,-23658.683884390615,-13498.759438412964,-11391.783528291262,-2105.305272917054,26785.85251494002,6696.046297346464,-1918.7446084474916,-1567.4283709924957,7934.137519993979,6320.05354444206,-8035.843927755515,-2851.55524366015
2015-01-07,30961.017608119077,12808.512414514946,11053.958426994233,10696.998139842925,-2965.691349562358,-185.61503595272652,3099.9637080029247,6240.775608484883,-4136.185895782391,378.7965952316562,3514.6604802510137,-1859.6539044281283
2015-01-08,43973.76575049274,18958.90670187483,13438.686277697667,8446.579960530453,-19996.223707858633,-4087.508861725995,3751.2563232390785,2138.904924406566,-2952.179790665128,-4001.3301966097306,1950.1606025202755,1184.7231688389863
2015-01-09,-20114.578826000994,-6604.833705706326,-4850.878959564632,-1652.442524789018,16338.57998037532,4920.819181889177,2503.1348706469976,-317.86327113919214,7924.610949416564,2483.3018801096505,-2932.428867192795,-507.1820837479802
2015-01-12,-19661.658118710784,-10481.629344242241,-2350.188173849298,-4091.1553473468234,8558.662921087793,3513.7930552636544,-610.7644251831352,-2916.5879595562105,7717.801841157726,1896.3291974169958,-9752.571714590425,-6672.641582093228
2015-01-13,-7041.591651268214,-295.2955775738799,5029.636353433397,4345.649538128141,0.0,922.2566663149411,0.0,1596.7506336935487,-2365.630217785544,7836.285446575104,2397.9846243815923,-1213.496569096221
2015-01-14,-15138.9794812247,-5531.592458302354,-2846.91441233921,-2807.458915966543,11336.781015111772,4599.832488014602,-1168.218913073149,3767.405364251654,-1126.5128102210251,-2961.19161239588,7245.145461554878,3282.457410280903
2015-01-15,-23006.278599811503,-13059.964196286463,6352.263693490119,1150.3821930334482,23418.875896443125,8499.569809567536,-3072.137523556103,677.8416682991157,17404.946881465057,371.7557821444473,-9184.140615100805,-4152.3091430265795
2015-01-16,32572.14704728024,11672.806678860417,12914.05805184923,4195.783157859596,-19246.16931373173,-7399.397270245037,1901.456453313083,361.47677816029415,9085.775673464119,14504.355836816007,9839.873063895002,5694.758016252331
2015-01-20,5324.865224153529,7903.328344309636,3448.621372408472,-760.123468804433,19802.90877213607,2289.9838443309854,-893.9829941498078,-90.4783777859933,9533.223253785909,4043.416644572063,-9496.342729966596,-4130.906666484324
2015-01-21,12589.517868135203,5104.09289274336,7838.261340998815,10912.066344742745,-17439.124955543284,-4768.184335456515,2676.934220425952,-451.5672339922143,169.09782361484997,3299.608274572966,3290.8647775001014,1900.4272223332753
2015-01-22,36903.828140983176,18334.947856805153,3733.8758210381457,9463.287108987139,-5408.064565688091,-2484.2665561067597,667.2822632232717,-1538.2491198721425,5612.152094204032,4116.698579810581,-4093.3845822641606,-344.6662703007671
2015-01-23,-13744.97725544822,2208.5238973461114,-5687.989925653463,-3788.371092395629,20733.73437679446,6520.60480807805,0.0,5855.949838693689,-5612.152094204003,-1708.4393394703145,-4766.280191899909,-1902.5796515763298
2015-01-26,5847.208175379268,-1151.8483493138162,13596.905420382192,245.3725895856994,-4570.717575346311,-2290.7593879719698,2272.300794946172,-4679.153154610207,-7022.175553630679,-6582.2688075753795,-1535.2795502501951,-1042.8486310986805
2015-01-27,-33195.373229056764,-26268.55777886414,1446.1179923573231,-2704.7531548598977,2342.634670786033,1374.7245791261462,-387.5231914515365,3558.387375390038,7979.411080065035,3482.3507943277536,3990.722144215248,1562.9264421884761
