Horizon (days),HS VaR %,HS ES %,Param VaR %,Param ES %,MC VaR %,MC ES %,HS VaR (€),Param VaR (€),MC VaR (€)
1,0.010290120304172548,0.016177015250402906,0.01075691794811315,0.013568024912024926,0.0095406660204983,0.014296266329480792,102901.20304172549,107569.1794811315,95406.66020498301
2,0.014552427692611577,0.02287775436583618,0.015212579251556183,0.01918808484520167,0.013919358572896511,0.020369390627300348,145524.27692611577,152125.79251556183,139193.58572896512
3,0.01782301118282296,0.028019412328514397,0.01863152841898153,0.023500508505987415,0.016921297417810486,0.024298740015973798,178230.11182822962,186315.2841898153,169212.97417810487
5,0.023009408496780633,0.03617290577295168,0.02405319976036856,0.03033902602369834,0.021918511954781124,0.03054811558094287,230094.08496780632,240531.9976036856,219185.11954781125
10,0.0325402175583299,0.051156213934552296,0.0340163613195825,0.042905862071904464,0.030755447259881247,0.04193164938097918,325402.175583299,340163.613195825,307554.4725988125
