Date,SPY,QQQ,EFA,EEM,TLT,IEF,HYG,EMB,GLD,SLV,USO,DBC
2015-01-02,170.12503051757812,94.66505432128906,43.780635833740234,30.355051040649414,93.0014877319336,82.59087371826172,48.79638671875,63.3541259765625,114.08000183105469,15.109999656677246,159.1199951171875,15.412328720092773
2015-01-05,167.05255126953125,93.27644348144531,42.74717330932617,29.814817428588867,94.46238708496094,83.0947494506836,48.3443489074707,62.948421478271484,115.80000305175781,15.5,150.32000732421875,15.192512512207031
2015-01-06,165.47911071777344,92.02578735351562,42.262969970703125,29.689542770385742,96.16437530517578,83.65302276611328,48.159183502197266,62.75139617919922,117.12000274658203,15.829999923706055,144.39999389648438,15.048789024353027
2015-01-07,167.5412139892578,93.21208190917969,42.73273468017578,30.33156394958496,95.97443389892578,83.63749694824219,48.45869445800781,63.5395393371582,116.43000030517578,15.850000381469727,146.9600067138672,14.955792427062988
2015-01-08,170.51425170898438,94.99613952636719,43.310882568359375,30.848312377929688,94.70350646972656,83.29632568359375,48.82362365722656,63.81193161010742,115.94000244140625,15.640000343322754,148.39999389648438,15.014970779418945
2015-01-09,169.1478271484375,94.37077331542969,43.101295471191406,30.746530532836914,95.74069213867188,83.70722198486328,49.068660736083984,63.77137756347656,117.26000213623047,15.770000457763672,146.24000549316406,14.989607810974121
2015-01-12,167.82275390625,93.38677978515625,43.000118255615234,30.49597930908203,96.28852844238281,84.00186920166016,49.008758544921875,63.40047073364258,118.55999755859375,15.869999885559082,139.27999877929688,14.659887313842773
2015-01-13,167.35072326660156,93.35920715332031,43.21693801879883,30.762184143066406,96.28852844238281,84.07937622070312,49.008758544921875,63.60326385498047,118.16000366210938,16.290000915527344,140.9600067138672,14.6007080078125
2015-01-14,166.3403778076172,92.84420776367188,43.094078063964844,30.589941024780273,97.0190200805664,84.4670181274414,48.894386291503906,64.08431243896484,117.97000122070312,16.1299991607666,146.16000366210938,14.76133918762207
2015-01-15,164.816650390625,91.6395492553711,43.36869430541992,30.660402297973633,98.54562377929688,85.1880111694336,48.594886779785156,64.17124938964844,120.94000244140625,16.149999618530273,139.60000610351562,14.55843448638916
2015-01-16,166.9780731201172,92.71550750732422,43.93239212036133,30.918773651123047,97.2892837524414,84.55999755859375,48.7800407409668,64.21765899658203,122.5199966430664,16.950000762939453,146.63999938964844,14.837430000305176
2015-01-20,167.3341064453125,93.451171875,44.08415985107422,30.87180519104004,98.58220672607422,84.75386047363281,48.692901611328125,64.20603942871094,124.19999694824219,17.18000030517578,139.83999633789062,14.634523391723633
2015-01-21,168.17889404296875,93.92937469482422,44.431060791015625,31.552961349487305,97.44271850585938,84.35070037841797,48.95429611206055,64.14807891845703,124.2300033569336,17.3700008392334,142.16000366210938,14.727523803710938
2015-01-22,170.6798858642578,95.66744995117188,44.59727096557617,32.15583801269531,97.09203338623047,84.14141082763672,49.01967239379883,63.95103073120117,125.2300033569336,17.610000610351562,139.27999877929688,14.710613250732422
2015-01-23,169.7440643310547,95.87896728515625,44.344322204589844,31.913122177124023,98.44340515136719,84.69185638427734,49.01967239379883,64.70442199707031,124.2300033569336,17.510000228881836,136.0,14.61761474609375
2015-01-26,170.14154052734375,95.76859283447266,44.951385498046875,31.928787231445312,98.14389038085938,84.4980697631836,49.24295425415039,64.10172271728516,122.98999786376953,17.1299991607666,134.9600067138672,14.566889762878418
2015-01-27,167.89730834960938,93.28564453125,45.01643753051758,31.756534576416016,98.29728698730469,84.61431121826172,49.204803466796875,64.5595474243164,124.4000015258789,17.329999923706055,137.67999267578125,14.642977714538574
2015-01-28,165.74417114257812,92.80743408203125,44.344322204589844,31.41203498840332,99.9043197631836,85.26560974121094,49.101375579833984,64.62329864501953,123.41999816894531,17.229999542236328,132.47999572753906,14.431621551513672
2015-01-29,167.2762451171875,93.6994400024414,44.951385498046875,31.41203498840332,99.24689483642578,84.96322631835938,49.27560806274414,64.7101821899414,120.76000213623047,16.239999771118164,133.44000244140625,14.363984107971191
