Date,ewma_vol,vol_of_vol,garch_vol
2015-01-05,0.06530069891890779,,0.10677562550531021
2015-01-06,0.06366742717705937,,0.10716759660700909
2015-01-07,0.0674012198270547,,0.10220760098987983
2015-01-08,0.06976221477083654,,0.10320635595080511
2015-01-09,0.06764580031833041,,0.10300676331887247
2015-01-12,0.06697043578781509,,0.09796574100470357
2015-01-13,0.06507646247329217,,0.09485035589998933
2015-01-14,0.06309615253390007,,0.09051430508011751
2015-01-15,0.06121002617806877,,0.08630217738519035
2015-01-16,0.06631310154852868,,0.08242090571415421
2015-01-20,0.06588087372281472,,0.0874109470757848
2015-01-21,0.06461653563783688,,0.08541785794013337
2015-01-22,0.06754909674486703,,0.08250830640955215
2015-01-23,0.06549541109581924,,0.085228504545075
2015-01-26,0.06355703168752011,,0.08138332999579509
2015-01-27,0.06326213975934322,,0.07787856057442083
2015-01-28,0.06386857091571106,,0.07676993631592252
2015-01-29,0.06192869297439381,,0.07697709611827834
2015-01-30,0.06009118259240635,,0.0737191053663633
2015-02-02,0.06298899980123986,,0.07075897754389006
2015-02-03,0.06384270623338957,,0.0745508389887242
2015-02-04,0.06378645371392919,,0.0753320665319345
2015-02-05,0.06461067158618788,,0.0748343538975036
2015-02-06,0.07295596850381326,,0.0756206216373212
2015-02-09,0.07082498877886832,,0.08685543224562563
2015-02-10,0.06889710245082112,,0.083020118560695
2015-02-11,0.06722891833955182,,0.07964998814624719
2015-02-12,0.07145859977066964,,0.07681113091789397
2015-02-13,0.07045965736383875,,0.08257095271776514
2015-02-17,0.07081793268838336,,0.080599402107324
2015-02-18,0.06887712723864926,,0.08069788330945986
2015-02-19,0.06718003710329247,,0.07748155238660703
2015-02-20,0.06602482229803996,,0.07477109438772032
2015-02-23,0.06409260880625506,,0.07299135051392322
2015-02-24,0.0647872168553238,,0.0701351934612108
2015-02-25,0.0635886635186262,,0.07134691364366356
2015-02-26,0.06310212211658343,,0.06965765529177488
2015-02-27,0.06128886135006316,,0.06911398683201993
2015-03-02,0.05996494575412976,,0.06659376967201909
2015-03-03,0.05947061448919637,,0.06492586628578212
2015-03-04,0.05858311332780777,,0.0645847847051104
2015-03-05,0.05680086749063725,,0.06364833051523001
2015-03-06,0.08118293475669261,,0.061389130807594866
2015-03-09,0.07952079238536758,,0.09671831532243906
2015-03-10,0.08415726784978599,,0.09322066297608796
2015-03-11,0.08159634643277124,,0.0987770140201257
2015-03-12,0.08159158434155496,,0.09400989439349797
2015-03-13,0.0820675285678954,,0.09313839220562461
2015-03-16,0.08469401274368533,,0.09305297480847141
2015-03-17,0.08211985508936018,,0.09614152166271145
2015-03-18,0.1021406193173141,,0.09155510109333023
2015-03-19,0.1018467678348528,,0.11971689344739729
2015-03-20,0.10698865260656672,,0.1176022522159391
2015-03-23,0.10398029403498077,,0.12344481525122213
2015-03-24,0.10081269337558758,,0.11744140854357535
2015-03-25,0.10282454207125977,,0.11145520583477464
2015-03-26,0.10066715187251526,,0.11347929512394621
2015-03-27,0.09777913162290082,,0.10922430577639694
2015-03-30,0.09588513115262536,,0.1040426956160906
2015-03-31,0.09529908520507584,,0.10062421779723497
2015-04-01,0.09515478006243645,,0.09942601464830239
2015-04-02,0.09225969758464564,,0.09899640132628473
2015-04-06,0.09284389563089154,0.22860921112279645,0.09421660426552672
2015-04-07,0.09004000931586807,0.2300091142448586,0.09523920533609252
2015-04-08,0.0873275653247577,0.23027464779290216,0.09074447472740584
2015-04-09,0.08478462393205809,0.23055220576203794,0.08656458055762832
2015-04-10,0.0839079108884483,0.2309003421337448,0.08281852519696718
2015-04-13,0.08214732082074284,0.23070400622172765,0.08202161241823017
2015-04-14,0.08022043117435568,0.23016877195915733,0.07974509260907238
2015-04-15,0.08026723037200197,0.22924426646685886,0.07726378160519881
2015-04-16,0.07782777069220985,0.2277014720900351,0.07822025663070058
2015-04-17,0.07769404957948636,0.22558945099122588,0.07487460911432967
2015-04-20,0.07546097791099608,0.22461276357087462,0.07557663824020155
2015-04-21,0.07317074229753376,0.22363384766460126,0.07264039524868345
2015-04-22,0.07121816756145305,0.22253650178617954,0.06970629594782465
2015-04-23,0.07102427710704796,0.22203870321079805,0.06745626720424557
2015-04-24,0.06969529362653208,0.22130047981169237,0.06830606308989813
2015-04-27,0.0679023004364835,0.22037920196434566,0.06711127556886405
2015-04-28,0.06589485459417714,0.21976039680747353,0.06514473554096413
2015-04-29,0.06759485061926507,0.21895785612886023,0.06286969741948371
2015-04-30,0.07130473755636423,0.21706253817364024,0.06693577398041534
2015-05-01,0.0699201092010693,0.21472989845470225,0.07378842937444616
2015-05-04,0.06779925357676131,0.21360395028749804,0.07201333964511103
2015-05-05,0.06970788030404214,0.21236857176160676,0.06912571136721654
2015-05-06,0.07075350721275775,0.21094444438996726,0.07278274582376673
2015-05-07,0.06886296151965707,0.2100192960970485,0.07479691600300509
2015-05-08,0.07709555092818911,0.20977526479309183,0.07210480195592212
2015-05-11,0.0824887721948014,0.20942726422186497,0.08500729293570466
2015-05-12,0.0799977065377297,0.208579146039121,0.09266087386543709
2015-05-13,0.07790757084667606,0.20733086598598596,0.08833270020162165
2015-05-14,0.0815516517691095,0.20689337565876303,0.08479078560977248
2015-05-15,0.08159745146224259,0.20626799872820514,0.09003922746561463
2015-05-18,0.07995498726140235,0.20560855169953998,0.08965683484528976
2015-05-19,0.08088975548370368,0.2045782836618477,0.0867781554940043
2015-05-20,0.07847839085294184,0.20309883796407135,0.08794954944761754
2015-05-21,0.07896514680084861,0.2012534590817418,0.08399163687448513
2015-05-22,0.07693807651580457,0.19883197688168225,0.08466648660377622
2015-05-26,0.07854283526628407,0.19647305705893955,0.0814423560726971
2015-05-27,0.07813372726314297,0.1936338114205424,0.08398693086332354
2015-05-28,0.07596073924887643,0.19066498196351161,0.08329354725866558
2015-05-29,0.07397536074360073,0.18711148088420892,0.07990159761964265
