Date,rolling_var,rolling_es,realised_return
2017-01-04,0.008406030010454587,0.011995325549933227,0.005795236572070589
2017-01-05,0.008406030010454587,0.011995325549933227,0.006823024747948194
2017-01-06,0.008406030010454587,0.011995325549933227,-0.0014773815875144501
2017-01-09,0.008406030010454587,0.011995325549933227,0.00040269827880351516
2017-01-10,0.008406030010454587,0.011995325549933227,0.00044056832849374524
2017-01-11,0.008406030010454587,0.011995325549933227,0.0037886167962197055
2017-01-12,0.008406030010454587,0.011995325549933227,0.0004831051316233515
2017-01-13,0.008406030010454587,0.011995325549933227,0.0003072442759894299
2017-01-17,0.008406030010454587,0.011995325549933227,0.0022838074328047154
2017-01-18,0.008406030010454587,0.011995325549933227,-0.004260135087204599
2017-01-19,0.008406030010454587,0.011995325549933227,-0.003344806568581817
2017-01-20,0.008406030010454587,0.011995325549933227,0.002747454106332494
2017-01-23,0.008406030010454587,0.011995325549933227,0.0031814937974928145
2017-01-24,0.008406030010454587,0.011995325549933227,0.0010071635805748492
2017-01-25,0.008406030010454587,0.011995325549933227,0.0013688290640495788
2017-01-26,0.008406030010454587,0.011995325549933227,-0.0006476967220672048
2017-01-27,0.008406030010454587,0.011995325549933227,0.0007391677906963638
2017-01-30,0.008406030010454587,0.011995325549933227,-0.00408941714057595
2017-01-31,0.008406030010454587,0.011995325549933227,0.003474461816928672
2017-02-01,0.008406030010454587,0.011995325549933227,0.0006420804331363513
2017-02-02,0.008406030010454587,0.011995325549933227,0.0008416991973223017
2017-02-03,0.008406030010454587,0.011995325549933227,0.003324242119461555
2017-02-06,0.008406030010454587,0.011995325549933227,0.0011023378244780855
2017-02-07,0.008406030010454587,0.011995325549933227,0.0004983900065167314
2017-02-08,0.008328131243860299,0.0119463793166344,0.0043376417003259575
2017-02-09,0.008328131243860299,0.0119463793166344,-0.0001820349139905217
2017-02-10,0.008328131243860299,0.0119463793166344,0.0032105166038883057
2017-02-13,0.008328131243860299,0.0119463793166344,0.000616436595824255
2017-02-14,0.008328131243860299,0.0119463793166344,0.00019931143780519436
2017-02-15,0.008328131243860299,0.0119463793166344,0.00216107772645652
2017-02-16,0.008328131243860299,0.0119463793166344,0.001424212446232405
2017-02-17,0.008328131243860299,0.0119463793166344,0.0010854686285855972
2017-02-21,0.008328131243860299,0.0119463793166344,0.0029932858827511435
2017-02-22,0.008328131243860299,0.0119463793166344,0.00024375122749304838
2017-02-23,0.008328131243860299,0.0119463793166344,0.0021527183864654413
2017-02-24,0.008328131243860299,0.0119463793166344,0.0019888572513739183
2017-02-27,0.008328131243860299,0.0119463793166344,-0.0015039113398071222
2017-02-28,0.008328131243860299,0.0119463793166344,-0.0008303504703314873
2017-03-01,0.008328131243860299,0.0119463793166344,0.0034053207492748183
2017-03-02,0.008328131243860299,0.0119463793166344,-0.007735007489168552
2017-03-03,0.008328131243860299,0.0119463793166344,0.002698896468201286
2017-03-06,0.008328131243860299,0.0119463793166344,-0.0029621210431025895
2017-03-07,0.008328131243860299,0.0119463793166344,-0.00339247671198022
2017-03-08,0.008230469663154157,0.011673070850864905,-0.005633390081504864
2017-03-09,0.008230469663154157,0.011673070850864905,-0.002914401120639989
2017-03-10,0.008199137078883695,0.0116551730813465,0.003197576349026502
2017-03-13,0.008199137078883695,0.0116551730813465,7.225976331857233e-05
2017-03-14,0.008199137078883695,0.0116551730813465,-0.0025609579334937333
2017-03-15,0.008199137078883695,0.0116551730813465,0.012273421686726512
2017-03-16,0.008199137078883695,0.0116551730813465,-0.0009495590281734453
